row 1 of 1575: direction = forward, alpha = 0.15, n = 30, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 782 of 1575: direction = forward, alpha = 0.0135, n = 900, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 783 of 1575: direction = forward, alpha = 0.0135, n = 900, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 784 of 1575: direction = forward, alpha = 0.0135, n = 900, rho = 0.89, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 785 of 1575: direction = forward, alpha = 0.0135, n = 900, rho = 0.89, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 786 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 787 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 788 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 789 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 790 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 791 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 792 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 793 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 794 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.32, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 795 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.32, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 796 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 797 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 798 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 799 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.45, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 800 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.45, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 801 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 802 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 803 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 804 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.63, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 805 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.63, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 806 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 807 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 808 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 809 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.89, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 810 of 1575: direction = forward, alpha = 0.00899, n = 900, rho = 0.89, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 811 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 812 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 813 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 814 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 815 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 816 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 817 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 818 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 819 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.32, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 820 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.32, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 821 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 822 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 823 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 824 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.45, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 825 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.45, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 826 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 827 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 828 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 829 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.63, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 830 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.63, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 831 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 832 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 833 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 834 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.89, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 835 of 1575: direction = forward, alpha = 0.00675, n = 900, rho = 0.89, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 836 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 837 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 838 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 839 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 840 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 841 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 842 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 843 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 844 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.32, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 845 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.32, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 846 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 847 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 848 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 849 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.45, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 850 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.45, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 851 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 852 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 853 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 854 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.63, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 855 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.63, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 856 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 857 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 858 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 859 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.89, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 860 of 1575: direction = forward, alpha = 0.00325, n = 900, rho = 0.89, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 861 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 862 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 863 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 864 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 865 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 866 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 867 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 868 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 869 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.32, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 870 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.32, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 871 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 872 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 873 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 874 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.45, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 875 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.45, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 876 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 877 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 878 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 879 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.63, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 880 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.63, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 881 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 882 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.89, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 883 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.89, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 884 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.89, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 885 of 1575: direction = forward, alpha = 0.00162, n = 900, rho = 0.89, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 886 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 887 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 888 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 889 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 890 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 891 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.32, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 892 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.32, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 893 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.32, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 894 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.32, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 895 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.32, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 896 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.45, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 897 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.45, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 898 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.45, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 899 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.45, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 900 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.45, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 901 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.63, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
row 902 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.63, p = 18, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 14, 14, 14, sims = 10.
row 903 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.63, p = 24, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 20, 20, 20, sims = 10.
row 904 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.63, p = 50, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 46, 46, 46, sims = 10.
row 905 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.63, p = 100, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 96, 96, 96, sims = 10.
row 906 of 1575: direction = forward, alpha = 0.05, n = 900, rho = 0.89, p = 12, family = gaussian, link = identity, fivenum_authentic[min, median, max] = 6, 6, 6, fivenum_noise[min, median, max] = 8, 8, 8, sims = 10.
